event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
DJI112,2017-06-15,2017,3,Demonstrations,Protests,Protest with intervention,Protesters (Djibouti),,Protesters,Police Forces of Djibouti (1999-),,State forces,State forces-Protesters,,262,Eastern Africa,Djibouti,Tadjourah,Tadjourah,,Tadjourah,11.7853,42.8844,1,CIVICUS,Other,"In mid-June 2017, a youth protest demanding better access to jobs in the new Port of Tadjourah was cut short when security officials detained several dozen protesters at the Tadjourah Gendarmerie headquarters",0,NA,1552576883
DJI111,2017-03-08,2017,2,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),Journalists (Djibouti),Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,3,CIVICUS,Other,"In early March 2017, the famous caricaturist Idriss Hassan Mohamed was arrested and held in an undisclosed location for five days. According to LDDH, his leg was broken during interrogation and detention. LDDH claims he was arrested in retaliation for an article he published criticising the regime",0,NA,1552577101
DJI104,2016-01-11,2016,1,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),Journalists (Djibouti),Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Alkarama Foundation,Other,"Kadar Abdi Ibrahim, publication co-director of the Aurore newspaper, was arrested by police in connection with the publication of a photograph of a seven-year-old girl who died during the violent dispersal of a religious ceremony by the police and the Djibouti army on 21 December 2015. He was reportedly tortured in detention. He was later condemned to a two-month suspended prison sentence, while the publication of this monthly newspaper was also suspended for two months.",0,NA,1552577230
DJI100,2015-11-02,2015,1,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),MJO: Opposition Youth Movement,Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Alkarama Foundation,Other,Police violently arrested a young member of the Youth Opposition Movement (MJO). He was held at Gabode prison in harsh conditions and severely beaten during the course of his arrest.,0,NA,1552577238
DJI97,2015-10-04,2015,1,Strategic developments,Strategic developments,Arrests,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),,Civilians,State forces-Civilians,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Alkarama Foundation,Other,"Arrests: Young members of the Union for National Salvation (USN) and the Opposition Youth Movement (MJO), as well as two USN leaders, were arbitrarily detained in Gabode prison following a first instance trial after having been arrested on 18 September for having participated in a demonstration. they were released on 11 October",0,NA,1552577240
DJI92,2014-12-08,2014,1,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),MJO: Opposition Youth Movement,Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,Africa News,International,The President and the Spokesman for Mouvement des Jeunes de lopposition were arrested in their homes and beaten by police. They were denied access to a lawyer or doctor and placed in Gabode prison until one was released Dec 14th.,0,,1552577396
DJI89,2014-08-15,2014,3,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),Journalists (Djibouti),Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Balbala,11.5619,43.1067,1,CIVICUS,Other,"In August 2014, journalist Mohamed Ibrahim Waiss was arrested and detained, in Djibouti City, and accused of 'incitement and publishing false news.' According to the Committee to Protect Journalists, he was beaten and denied access to medical treatment while detained at Hodan Balbala Police Station",0,NA,1552577410
DJI70,2014-03-04,2014,1,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),USN: Union for National Salvation,Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,Reporters Sans Frontieres,Other,Djiboutian gendarmes used violence to break up a USN meeting in Balbala,0,NA,1552577424
DJI61,2013-03-09,2013,1,Political violence,Violence against civilians,Attack,Police Forces of Djibouti (1999-),,State forces,Civilians (Djibouti),Journalists (Djibouti),Civilians,State forces-Civilians,Civilian targeting,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,1,CIVICUS,Other,"On 9 March 2014, Maydaneh Abdallah Okieh, the website editor of La Voix de Djibouti, was arrested at his home and charged with disturbing public order following his coverage of an opposition meeting. He was allegedly beaten by security forces while in detention",0,NA,1552577493
DJI57,2013-02-26,2013,1,Demonstrations,Protests,Peaceful protest,Protesters (Djibouti),Students (Djibouti),Protesters,,,,Protesters only,,262,Eastern Africa,Djibouti,Djibouti,Djibouti,,Djibouti,11.595,43.1481,2,Africa News,International,"Students from the University of Djibouti protested before the Supreme Court on Tuesday (February 26th), demanding the release of opposition leaders arrested Monday.",0,,1552577494
