wardcode,wardname,ADM2_PCODE,countyname,ADM1_PCODE,statename,year,month,ACLED_BRD_nonstate,ACLED_BRD_state,ACLED_BRD_total
DJI.1.1_2,Ali Adde,DJI.1.1_2,Ali Adde,DJI.1_2,Ali Sabieh,1998,3,0.0,3.0,3.0
DJI.1.2_2,Ali Sabieh,DJI.1.2_2,Ali Sabieh,DJI.1_2,Ali Sabieh,2021,1,0.0,1.0,1.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2002,4,0.0,2.0,2.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2008,6,0.0,10.0,10.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2014,5,3.0,0.0,3.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2015,12,0.0,27.0,27.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2019,9,0.0,1.0,1.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2021,8,3.0,0.0,3.0
DJI.3.1_2,Djiboutii,DJI.3.1_2,Djiboutii,DJI.3_1,Djiboutii,2024,3,0.0,1.0,1.0
DJI.4.5_2,Obock,DJI.4.5_2,Obock,DJI.4_1,Obock,1999,4,0.0,4.0,4.0
DJI.4.5_2,Obock,DJI.4.5_2,Obock,DJI.4_1,Obock,2009,8,0.0,4.0,4.0
DJI.4.5_2,Obock,DJI.4.5_2,Obock,DJI.4_1,Obock,2024,10,46.0,0.0,46.0
DJI.5.1_2,Balho,DJI.5.1_2,Balho,DJI.5_1,Tadjoura,2022,10,0.0,7.0,7.0
DJI.5.5_2,Randa,DJI.5.5_2,Randa,DJI.5_1,Tadjoura,2014,8,0.0,1.0,1.0
DJI.5.6_2,Tadjoura,DJI.5.6_2,Tadjoura,DJI.5_1,Tadjoura,1999,4,2.0,7.0,9.0
DJI.5.6_2,Tadjoura,DJI.5.6_2,Tadjoura,DJI.5_1,Tadjoura,2010,5,0.0,3.0,3.0
DJI.5.6_2,Tadjoura,DJI.5.6_2,Tadjoura,DJI.5_1,Tadjoura,2014,6,0.0,3.0,3.0
DJI.5.6_2,Tadjoura,DJI.5.6_2,Tadjoura,DJI.5_1,Tadjoura,2014,8,0.0,4.0,4.0
DJI.5.6_2,Tadjoura,DJI.5.6_2,Tadjoura,DJI.5_1,Tadjoura,2019,6,0.0,3.0,3.0
DJI.5.6_2,Tadjoura,DJI.5.6_2,Tadjoura,DJI.5_1,Tadjoura,2021,1,0.0,1.0,1.0
